w,r,gamma,hd,hd95da,hd95db,hd50da,hd50db,mua,mub,volA,volB,volABc,volBAc,volAB,DSC,lengthA,nAPLA1mm,nAPLA2mm,lengthB,nAPLB1mm,nAPLB2mm
10,12.5,1.25,5,4.73791265186999,4.84610425743922,1.85458283233671,1.80651799502429,1.91779199027568,1.92799299877419,400,490.873852123405,30.1101221872481,120.983974310653,369.889877812752,0.830397877165474,80,0.710185412287015,0.460078105935821,78.5398163397448,0.704734402672888,0.444378614714492
10,12.17777778,1.217777778,4.35555556,4.10392117617914,4.20562690766454,1.62418701268534,1.57523534982085,1.68777833044574,1.65725184488154,400,465.892760784172,31.743518121906,97.6362789060778,368.256481878094,0.850582193445278,80,0.663335280432016,0.379167048816052,76.515234421394,0.659218888937632,0.353358091428172
10,11,1.1,3.86606874731851,3.17940061011219,2.15604632333583,0.975594969899551,0.876181654016011,1.21563247085676,0.956319097136569,400,380.132711084365,49.4012196811921,29.5339307655571,350.598780318808,0.898818304468952,80,0.458982858140315,0.176942938106037,69.1150383789754,0.369247996208936,0.0642302252510725
10,10,1,4.14213562373095,3.79311422413372,2.65677490564314,1.18033988749895,0.761204674887132,1.47793574696319,0.99683683842894,400,314.159265358979,85.8407346410207,0,314.159265358979,0.879801692976885,80,0.541742430504416,0.33667504192892,62.8318530717959,0.425734827485175,0.180668941203466
20,25,1.25,10,9.47582530373998,9.69220851487844,3.70916566467342,3.61303599004857,3.83558398055136,3.85598599754838,1600,1963.49540849362,120.440488748992,483.935897242613,1479.55951125101,0.830397877165474,160,0.831416452045742,0.710185412287015,157.07963267949,0.828510746881069,0.704734402672888
20,24.35555556,1.217777778,8.71111112,8.20784235235828,8.41125381532908,3.24837402537068,3.15047069964171,3.37555666089148,3.31450368976307,1600,1863.57104313669,126.974072487624,390.545115624311,1473.02592751238,0.850582193445278,160,0.791120399873454,0.663335280432016,153.030468842788,0.791948920914712,0.659218888937632
20,22,1.1,7.73213749463701,6.35880122022437,4.31209264667167,1.9511899397991,1.75236330803202,2.43126494171352,1.91263819427314,1600,1520.53084433746,197.604878724768,118.135723062228,1402.39512127523,0.898818304468952,160,0.748515549028511,0.458982858140315,138.230076757951,0.709267959611736,0.369247996208936
20,20,1,8.2842712474619,7.58622844826744,5.31354981128629,2.3606797749979,1.52240934977426,2.95587149392638,1.99367367685788,1600,1256.63706143592,343.362938564083,0,1256.63706143592,0.879801692976885,160,0.679843788128358,0.541742430504416,125.663706143592,0.59566950358296,0.425734827485175
40,50,1.25,20,18.95165060748,19.3844170297569,7.41833132934685,7.22607198009714,7.67116796110272,7.71197199509677,6400,7853.98163397448,481.76195499597,1935.74358897045,5918.23804500403,0.830397877165474,320,0.897863552423294,0.831416452045742,314.159265358979,0.896091735937963,0.828510746881069
40,48.71111112,1.217777778,17.42222224,16.4156847047166,16.8225076306582,6.49674805074135,6.30094139928341,6.75111332178297,6.62900737952615,6400,7454.28417254675,507.896289950497,1562.18046249725,5892.1037100495,0.850582193445278,320,0.877815463207889,0.791120399873454,306.060937685576,0.872458122509247,0.791948920914712
40,44,1.1,15.464274989274,12.7176024404487,8.62418529334333,3.9023798795982,3.50472661606404,4.86252988342705,3.82527638854628,6400,6082.12337734984,790.419514899074,472.542892248913,5609.58048510093,0.898818304468952,320,0.858814889503097,0.748515549028511,276.460153515902,0.836793034602322,0.709267959611736
40,40,1,16.5685424949238,15.1724568965349,10.6270996225726,4.72135954999579,3.04481869954853,5.91174298785276,3.98734735371576,6400,5026.54824574367,1373.45175425633,0,5026.54824574367,0.879801692976885,320,0.775,0.679843788128358,251.327412287183,0.71469848575591,0.59566950358296
80,100,1.25,40,37.9033012149599,38.7688340595138,14.8366626586937,14.4521439601943,15.3423359222054,15.4239439901935,25600,31415.9265358979,1927.04781998388,7742.97435588181,23672.9521800161,0.830397877165474,640,0.936102867309611,0.897863552423294,628.318530717959,0.934969617998717,0.896091735937963
80,97.42222224,1.217777778,34.84444448,32.8313694094331,33.6450152613163,12.9934961014827,12.6018827985668,13.5022266435659,13.2580147590523,25600,29817.136690187,2031.58515980199,6248.72184998898,23568.414840198,0.850582193445278,640,0.926201305345255,0.877815463207889,612.121875371152,0.922916552712175,0.872458122509247
80,88,1.1,30.928549978548,25.4352048808975,17.2483705866867,7.80475975919641,7.00945323212808,9.72505976685407,7.65055277709255,25600,24328.4935093994,3161.6780595963,1890.17156899565,22438.3219404037,0.898818304468952,640,0.917491455136409,0.858814889503097,552.920307031804,0.904582566698508,0.836793034602322
80,80,1,33.1370849898476,30.3449137930698,21.2541992451452,9.44271909999159,6.08963739909706,11.8234859757055,7.97469470743152,25600,20106.1929829747,5493.80701702532,0,20106.1929829747,0.879801692976885,640,0.841392780744381,0.775,502.654824574367,0.798472854532607,0.71469848575591
