Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,CC_VM_ShapeA1,CC_VM_ShapeB1,7.079495,6.725947,4.805613,4.111136,3.466163,4.409501,3.636042,8000.000000,3138.827216,3138.827216,4861.172784,0.000000,0.563583,3200.000000,1776.761987,3200.000000,0.000000
2,CC_VM_ShapeA2,CC_VM_ShapeB2,4.145421,3.793114,2.658468,1.184199,0.761260,1.479955,0.998358,8000.000000,6280.509401,6280.509401,1719.490599,0.000000,0.879592,3200.000000,2513.006487,1734.952599,0.000000
3,CC_VM_ShapeA3,CC_VM_ShapeB3,2.862858,2.509540,1.718081,1.040955,0.943288,1.077922,0.886245,8000.000000,7997.487844,7274.634759,725.365241,722.853085,0.909472,3200.000000,2835.703503,1682.442972,0.000000
4,CC_VM_ShapeA4,CC_VM_ShapeB4,4.139926,4.128496,4.129317,2.960092,3.064233,2.662558,2.731845,8000.000000,12563.767647,7999.998512,0.001488,4563.769135,0.778067,3200.000000,3554.122283,2728.497421,0.000000
5,CC_VM_ShapeA5,CC_VM_ShapeB5,14.146448,13.444094,9.618691,8.219211,6.935767,8.814963,7.268156,64000.000000,25127.535295,25127.535295,38872.464705,0.000000,0.563856,12800.000000,7108.244567,12800.000000,0.000000
6,CC_VM_ShapeA6,CC_VM_ShapeB6,8.284858,7.586336,5.312203,2.362327,1.522871,2.956752,1.993910,64000.000000,50260.744394,50260.744394,13739.255606,0.000000,0.879755,12800.000000,10052.859568,8705.075223,0.000000
7,CC_VM_ShapeA7,CC_VM_ShapeB7,5.718575,5.020008,3.434861,2.083122,1.886527,2.155954,1.773146,64000.000000,63995.132874,58203.154582,5796.845418,5791.978292,0.909459,12800.000000,11343.488965,9986.428486,0.000000
8,CC_VM_ShapeA8,CC_VM_ShapeB8,8.283166,8.259034,8.261723,5.922642,6.130877,5.327576,5.464729,64000.000000,100525.757188,63999.999238,0.000762,36525.757950,0.777994,12800.000000,14217.041262,11877.667240,0.000000
9,CC_VM_ShapeA9,CC_VM_ShapeB9,28.286454,26.890241,19.232518,16.437641,13.869123,17.628084,14.535271,512000.000000,201051.514375,201051.514375,310948.485625,0.000000,0.563919,51200.000000,28434.082524,51200.000000,0.000000
10,CC_VM_ShapeA10,CC_VM_ShapeB10,16.568572,15.173710,10.627360,4.721473,3.044310,5.912243,3.987425,512000.000000,402113.414755,402113.414755,109886.585245,0.000000,0.879789,51200.000000,40212.124840,39680.983236,0.000000
11,CC_VM_ShapeA11,CC_VM_ShapeB11,11.433979,10.037367,6.866490,4.173027,3.774830,4.312009,3.546621,512000.000000,511990.421327,465636.775409,46363.224591,46353.645918,0.909455,51200.000000,45374.606357,45649.990665,0.000000
12,CC_VM_ShapeA12,CC_VM_ShapeB12,16.567990,16.518212,16.524784,11.846847,12.262248,10.656399,10.929589,512000.000000,804237.580274,511999.999614,0.000386,292237.580660,0.777975,51200.000000,56868.722347,49372.929792,0.000000
13,CC_VM_ShapeA13,CC_VM_ShapeB13,56.569641,53.777331,38.461083,32.874247,27.737752,35.255240,29.070411,4096000.000000,1608475.160549,1608475.160549,2487524.839451,0.000000,0.563934,204800.000000,113737.444695,204800.000000,0.000000
14,CC_VM_ShapeA14,CC_VM_ShapeB14,33.137498,30.345370,21.254457,9.442773,6.088300,11.823729,7.974193,4096000.000000,3216970.395647,3216970.395647,879029.604353,0.000000,0.879799,204800.000000,160849.287836,172323.698113,0.000000
15,CC_VM_ShapeA15,CC_VM_ShapeB15,22.866824,20.074804,13.710322,8.341865,7.544405,8.624086,7.093406,4096000.000000,4095979.906896,3725115.675345,370884.324655,370864.231550,0.909454,204800.000000,181499.051761,193736.016658,0.000000
16,CC_VM_ShapeA16,CC_VM_ShapeB16,33.136809,33.036941,33.049919,23.694268,24.526397,21.313400,21.859628,4096000.000000,6433961.562367,4095999.999806,0.000194,2337961.562561,0.777971,204800.000000,227475.427990,201162.809695,0.000000
