Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,CC_VM_ShapeA1,CC_VM_ShapeB1,7.129470,6.745152,4.821581,4.130803,3.534603,4.439142,3.672448,7200.000000,2794.315973,2794.315973,4405.684027,0.000000,0.559181,480.000000,265.789991,480.000000,0.000570
2,CC_VM_ShapeA2,CC_VM_ShapeB2,4.166201,3.802435,2.677858,1.218680,0.777218,1.503583,1.022679,7200.000000,5623.142019,5623.142019,1576.857981,0.000000,0.877030,480.000000,376.461593,263.535816,0.000855
3,CC_VM_ShapeA3,CC_VM_ShapeB3,2.887017,2.521324,1.725908,1.029358,0.926848,1.072548,0.877288,7200.000000,7167.915053,6537.572679,662.427321,630.342374,0.910024,480.000000,424.914459,248.600028,0.000948
4,CC_VM_ShapeA4,CC_VM_ShapeB4,4.140721,4.098429,4.100726,2.936341,3.054802,2.641399,2.712813,7200.000000,11275.489974,7199.993314,0.006686,4075.496660,0.779410,480.000000,532.742076,408.223715,0.000100
5,CC_VM_ShapeA5,CC_VM_ShapeB5,14.147681,13.452366,9.627809,8.240850,6.945198,8.830622,7.287201,67200.000000,26309.476606,26309.476606,40890.523394,0.000000,0.562713,2240.000000,1243.064845,2240.000000,0.000100
6,CC_VM_ShapeA6,CC_VM_ShapeB6,8.290112,7.588673,5.324137,2.369035,1.529158,2.970431,2.006986,67200.000000,52697.304169,52697.304169,14502.695831,0.000000,0.879041,2240.000000,1758.612832,1530.311866,0.001428
7,CC_VM_ShapeA7,CC_VM_ShapeB7,5.729608,5.019250,3.437235,2.076155,1.885404,2.153628,1.768899,67200.000000,67121.097762,61088.222781,6111.777219,6032.874981,0.909585,2240.000000,1984.565424,1745.385973,0.000568
8,CC_VM_ShapeA8,CC_VM_ShapeB8,8.283564,8.247708,8.253243,5.915467,6.116589,5.316333,5.455059,67200.000000,105474.744079,67199.973645,0.026355,38274.770433,0.778342,2240.000000,2487.526624,2076.909424,0.000469
9,CC_VM_ShapeA9,CC_VM_ShapeB9,28.295363,26.897623,19.235221,16.439620,13.883411,17.636406,14.544948,499200.000000,195881.667575,195881.667575,303318.332425,0.000000,0.563622,8320.000000,4619.692301,8320.000000,0.000469
10,CC_VM_ShapeA10,CC_VM_ShapeB10,16.587539,15.174176,10.632377,4.723982,3.052937,5.919430,3.993756,499200.000000,391912.841427,391912.841427,107287.158573,0.000000,0.879603,8320.000000,6533.854639,6457.389431,0.000557
11,CC_VM_ShapeA11,CC_VM_ShapeB11,11.434830,10.042800,6.866213,4.170040,3.768135,4.311369,3.544795,499200.000000,499041.270593,453938.625438,45261.374562,45102.645155,0.909477,8320.000000,7372.821847,7418.339482,0.000681
12,CC_VM_ShapeA12,CC_VM_ShapeB12,16.568189,16.511168,16.517116,11.843839,12.261480,10.650309,10.924997,499200.000000,783979.910636,499199.970083,0.029917,284779.940553,0.778067,8320.000000,9240.720319,8021.098490,0.000259
13,CC_VM_ShapeA13,CC_VM_ShapeB13,56.579657,53.778221,38.462112,32.874488,27.738520,35.259748,29.075003,4147200.000000,1628265.968245,1628265.968245,2518934.031755,0.000000,0.563856,34560.000000,19192.265278,34560.000000,0.000259
14,CC_VM_ShapeA14,CC_VM_ShapeB14,33.143675,30.346851,21.257940,9.444743,6.093901,11.827305,7.978207,4147200.000000,3256873.574804,3256873.574804,890326.425196,0.000000,0.879752,34560.000000,27142.673658,29084.599249,0.000212
15,CC_VM_ShapeA15,CC_VM_ShapeB15,22.875476,20.080079,13.712591,8.342571,7.541446,8.623924,7.092644,4147200.000000,4146873.239163,3771555.105796,375644.894204,375318.133367,0.909458,34560.000000,30627.399238,32692.660350,0.000172
16,CC_VM_ShapeA16,CC_VM_ShapeB16,33.136908,33.034246,33.045812,23.691316,24.525682,21.310660,21.857463,4147200.000000,6514095.561152,4147199.994639,0.005361,2366895.566514,0.777992,34560.000000,38386.050490,33945.073142,0.000013
