Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,CC_VM_ShapeA1,CC_VM_ShapeB1,7.077630,6.722812,4.807664,4.124188,3.473925,4.414366,3.642352,8000.000000,3133.250741,3133.250741,4866.749259,0.000000,0.562864,1600.000000,887.986306,1600.000000,0.000552
2,CC_VM_ShapeA2,CC_VM_ShapeB2,4.155235,3.799426,2.665019,1.193018,0.760968,1.484362,1.002578,8000.000000,6274.442249,6274.442249,1725.557751,0.000000,0.879116,1600.000000,1256.199753,871.387405,0.000250
3,CC_VM_ShapeA3,CC_VM_ShapeB3,2.867014,2.511613,1.716489,1.038314,0.939641,1.076656,0.884482,8000.000000,7991.189070,7272.725294,727.274706,718.463776,0.909592,1600.000000,1417.572550,838.002842,0.000260
4,CC_VM_ShapeA4,CC_VM_ShapeB4,4.142121,4.122571,4.123334,2.953565,3.057889,2.658676,2.727955,8000.000000,12557.348310,7999.990474,0.009526,4557.357836,0.778310,1600.000000,1776.834129,1362.482434,0.000262
5,CC_VM_ShapeA5,CC_VM_ShapeB5,14.154116,13.446147,9.616005,8.226288,6.942111,8.817859,7.272055,64000.000000,25114.696620,25114.696620,38885.303380,0.000000,0.563649,6400.000000,3553.668257,6400.000000,0.000262
6,CC_VM_ShapeA6,CC_VM_ShapeB6,8.288210,7.587340,5.314069,2.366815,1.521887,2.959156,1.996134,64000.000000,50247.738417,50247.738417,13752.261583,0.000000,0.879628,6400.000000,5026.104605,4356.917950,0.000023
7,CC_VM_ShapeA7,CC_VM_ShapeB7,5.723325,5.018777,3.422615,2.083736,1.885692,2.155988,1.772683,64000.000000,63981.371676,58197.211832,5802.788168,5784.159845,0.909464,6400.000000,5671.439564,4992.181066,0.000007
8,CC_VM_ShapeA8,CC_VM_ShapeB8,8.284264,8.255206,8.260747,5.920867,6.129083,5.325720,5.463203,64000.000000,100513.355695,63999.999863,0.000137,36513.355833,0.778052,6400.000000,7108.301397,5938.430905,0.000032
9,CC_VM_ShapeA9,CC_VM_ShapeB9,28.285427,26.891403,19.233192,16.438750,13.870917,17.629449,14.536797,512000.000000,201026.711391,201026.711391,310973.288609,0.000000,0.563869,25600.000000,14216.602795,25600.000000,0.000032
10,CC_VM_ShapeA10,CC_VM_ShapeB10,16.573845,15.175003,10.627278,4.724659,3.045831,5.913538,3.988575,512000.000000,402085.998373,402085.998373,109914.001627,0.000000,0.879755,25600.000000,20105.719701,19844.130600,0.000018
11,CC_VM_ShapeA11,CC_VM_ShapeB11,11.434810,10.037723,6.855456,4.171875,3.768752,4.311872,3.546297,512000.000000,511963.511664,465626.581130,46373.418870,46336.930534,0.909459,25600.000000,22687.005071,22827.032552,0.000023
12,CC_VM_ShapeA12,CC_VM_ShapeB12,16.568539,16.517572,16.523454,11.844812,12.263199,10.655384,10.928798,512000.000000,804211.167624,511999.998926,0.001074,292211.168698,0.777991,25600.000000,28434.127730,24685.729039,0.000018
13,CC_VM_ShapeA13,CC_VM_ShapeB13,56.570604,53.778130,38.460296,32.876365,27.736801,35.255991,29.071202,4096000.000000,1608422.335247,1608422.335247,2487577.664753,0.000000,0.563921,102400.000000,56868.255461,102400.000000,0.000018
14,CC_VM_ShapeA14,CC_VM_ShapeB14,33.137190,30.346786,21.257080,9.444083,6.088671,11.824326,7.974736,4096000.000000,3216919.219990,3216919.219990,879080.780010,0.000000,0.879791,102400.000000,80424.324055,86160.877036,0.000008
15,CC_VM_ShapeA15,CC_VM_ShapeB15,22.869209,20.075599,13.719152,8.341567,7.543502,8.624081,7.093277,4096000.000000,4095923.654955,3725091.899552,370908.100448,370831.755404,0.909455,102400.000000,90749.214304,96867.732436,0.000009
16,CC_VM_ShapeA16,CC_VM_ShapeB16,33.137083,33.036515,33.049065,23.693265,24.526073,21.312920,21.859245,4096000.000000,6433910.917138,4095999.999476,0.000524,2337910.917662,0.777974,102400.000000,113737.490165,100580.990682,0.000004
