Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,CC_VM_ShapeRA1,CC_VM_ShapeRB1,7.075260,6.735157,4.813564,4.122919,3.473407,4.416143,3.642269,8000.000426,3133.250774,3133.250774,4866.749652,0.000000,0.562864,1600.000043,887.986311,1600.000043,0.000552
2,CC_VM_ShapeRA2,CC_VM_ShapeRB2,4.150845,3.800709,2.656809,1.188491,0.765785,1.486087,1.002701,8000.000426,6274.442398,6274.442398,1725.558027,0.000000,0.879116,1600.000043,1256.199768,868.599637,0.000250
3,CC_VM_ShapeRA3,CC_VM_ShapeRB3,2.858650,2.516025,1.723629,1.040836,0.938183,1.078117,0.884498,8000.000426,7991.189047,7272.577001,727.423425,718.612046,0.909573,1600.000043,1417.572547,839.846598,0.000260
4,CC_VM_ShapeRA4,CC_VM_ShapeRB4,4.137427,4.124788,4.128713,2.953457,3.060987,2.656999,2.727921,8000.000426,12557.348277,7999.994523,0.005902,4557.353753,0.778310,1600.000043,1776.834126,1363.282623,0.000262
5,CC_VM_ShapeRA5,CC_VM_ShapeRB5,14.149159,13.445145,9.620325,8.226589,6.939012,8.817863,7.272084,63999.998880,25114.696553,25114.696553,38885.302327,0.000000,0.563649,6399.999944,3553.668253,6399.999944,0.000262
6,CC_VM_ShapeRA6,CC_VM_ShapeRB6,8.284910,7.586762,5.319577,2.362790,1.524946,2.959187,1.996312,63999.998880,50247.738383,50247.738383,13752.260497,0.000000,0.879628,6399.999944,5026.104603,4354.993258,0.000023
7,CC_VM_ShapeRA7,CC_VM_ShapeRB7,5.716894,5.020978,3.429072,2.084137,1.885470,2.155761,1.772497,63999.998880,63981.371744,58197.728175,5802.270705,5783.643569,0.909472,6399.999944,5671.439567,4992.808503,0.000007
8,CC_VM_ShapeRA8,CC_VM_ShapeRB8,8.283553,8.256338,8.260784,5.920961,6.128928,5.325686,5.463044,63999.998880,100513.355639,63999.998626,0.000254,36513.357012,0.778052,6399.999944,7108.301395,5936.231026,0.000032
9,CC_VM_ShapeRA9,CC_VM_ShapeRB9,28.285235,26.889068,19.235015,16.438841,13.871072,17.629477,14.536956,511999.991041,201026.711277,201026.711277,310973.279763,0.000000,0.563869,25599.999776,14216.602791,25599.999776,0.000032
10,CC_VM_ShapeRA10,CC_VM_ShapeRB10,16.569497,15.172574,10.629023,4.722982,3.045368,5.913525,3.988705,511999.991041,402085.998551,402085.998551,109913.992490,0.000000,0.879755,25599.999776,20105.719706,19848.032594,0.000018
11,CC_VM_ShapeRA11,CC_VM_ShapeRB11,11.433506,10.040131,6.862504,4.170598,3.772279,4.311839,3.546187,511999.991041,511963.512239,465627.168299,46372.822742,46336.343940,0.909460,25599.999776,22687.005084,22824.188702,0.000023
12,CC_VM_ShapeRA12,CC_VM_ShapeRB12,16.567018,16.516488,16.523228,11.844877,12.260373,10.655386,10.928695,511999.991041,804211.166906,511999.990954,0.000087,292211.175952,0.777991,25599.999776,28434.127718,24685.895551,0.000018
13,CC_VM_ShapeRA13,CC_VM_ShapeRB13,56.568640,53.777324,38.462057,32.876312,27.739628,35.257652,29.071306,4096000.000735,1608422.333812,1608422.333812,2487577.666923,0.000000,0.563921,102400.000009,56868.255436,102400.000009,0.000018
14,CC_VM_ShapeRA14,CC_VM_ShapeRB14,33.137436,30.346001,21.254692,9.443009,6.089696,11.825991,7.974940,4096000.000735,3216919.222470,3216919.222470,879080.778265,0.000000,0.879791,102400.000009,80424.324086,86166.939512,0.000008
15,CC_VM_ShapeRA15,CC_VM_ShapeRB15,22.866848,20.076167,13.710436,8.345188,7.544172,8.625175,7.093200,4096000.000735,4095923.654186,3725092.414494,370907.586242,370831.239692,0.909455,102400.000009,90749.214295,96867.315869,0.000009
16,CC_VM_ShapeRA16,CC_VM_ShapeRB16,33.137023,33.036161,33.048916,23.692671,24.526093,21.311250,21.859073,4096000.000735,6433910.915111,4096000.000595,0.000140,2337910.914515,0.777974,102400.000009,113737.490147,100581.126373,0.000004
