Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,CC_VM_ShapeRA1,CC_VM_ShapeRB1,7.117164,6.743319,4.826282,4.131755,3.493496,4.441401,3.671846,7200.000383,2794.315936,2794.315936,4405.684447,0.000000,0.559181,480.000013,265.789990,480.000013,0.000570
2,CC_VM_ShapeRA2,CC_VM_ShapeRB2,4.168106,3.803630,2.678661,1.220445,0.785545,1.505657,1.022334,7200.000383,5623.142089,5623.142089,1576.858294,0.000000,0.877030,480.000013,376.461595,263.589571,0.000855
3,CC_VM_ShapeRA3,CC_VM_ShapeRB3,2.904387,2.543027,1.729445,1.025199,0.932369,1.076349,0.878835,7200.000383,7167.915071,6536.156107,663.844276,631.758963,0.909827,480.000013,424.914460,248.028624,0.000948
4,CC_VM_ShapeRA4,CC_VM_ShapeRB4,4.140181,4.097680,4.103638,2.942589,3.036934,2.639318,2.713090,7200.000383,11275.489910,7199.981955,0.018428,4075.507955,0.779409,480.000013,532.742075,407.113701,0.000100
5,CC_VM_ShapeRA5,CC_VM_ShapeRB5,14.155823,13.450594,9.632982,8.222573,6.963065,8.830968,7.286917,67199.998824,26309.476457,26309.476457,40890.522367,0.000000,0.562713,2239.999980,1243.064841,2239.999980,0.000100
6,CC_VM_ShapeRA6,CC_VM_ShapeRB6,8.318799,7.595285,5.327667,2.382302,1.531532,2.970462,2.007101,67199.998824,52697.304860,52697.304860,14502.693964,0.000000,0.879041,2239.999980,1758.612844,1528.782881,0.001428
7,CC_VM_ShapeRA7,CC_VM_ShapeRB7,5.740934,5.032115,3.441623,2.078565,1.879463,2.154458,1.769276,67199.998824,67121.097682,61086.108985,6113.889839,6034.988697,0.909553,2239.999980,1984.565423,1746.256414,0.000568
8,CC_VM_ShapeRA8,CC_VM_ShapeRB8,8.282100,8.247003,8.255814,5.913487,6.120847,5.316215,5.455063,67199.998824,105474.743990,67199.958223,0.040601,38274.785767,0.778341,2239.999980,2487.526622,2076.617238,0.000469
9,CC_VM_ShapeRA9,CC_VM_ShapeRB9,28.302783,26.889745,19.237545,16.445415,13.879153,17.636501,14.544944,499199.991265,195881.667411,195881.667411,303318.323854,0.000000,0.563622,8319.999927,4619.692299,8319.999927,0.000469
10,CC_VM_ShapeRA10,CC_VM_ShapeRB10,16.570306,15.178144,10.631409,4.726943,3.048614,5.919346,3.994009,499199.991265,391912.841407,391912.841407,107287.149857,0.000000,0.879603,8319.999927,6533.854639,6455.496967,0.000558
11,CC_VM_ShapeRA11,CC_VM_ShapeRB11,11.446807,10.043181,6.859145,4.166640,3.767015,4.311385,3.544709,499199.991265,499041.270040,453938.306925,45261.684339,45102.963115,0.909476,8319.999927,7372.821843,7416.342586,0.000681
12,CC_VM_ShapeRA12,CC_VM_ShapeRB12,16.567848,16.511865,16.517956,11.841957,12.256307,10.650379,10.924792,499199.991265,783979.912300,499199.976687,0.014577,284779.935612,0.778067,8319.999927,9240.720329,8021.419814,0.000259
13,CC_VM_ShapeRA13,CC_VM_ShapeRB13,56.577609,53.781642,38.462666,32.879098,27.743693,35.261354,29.075209,4147200.000744,1628265.971699,1628265.971699,2518934.029045,0.000000,0.563856,34560.000003,19192.265298,34560.000003,0.000259
14,CC_VM_ShapeRA14,CC_VM_ShapeRB14,33.144369,30.348045,21.258403,9.447647,6.090231,11.828965,7.978243,4147200.000744,3256873.573943,3256873.573943,890326.426802,0.000000,0.879752,34560.000003,27142.673654,29088.261435,0.000212
15,CC_VM_ShapeRA15,CC_VM_ShapeRB15,22.872891,20.077262,13.712953,8.342439,7.544379,8.624946,7.092464,4147200.000744,4146873.234933,3771559.033612,375640.967132,375314.201321,0.909459,34560.000003,30627.399223,32691.840226,0.000172
16,CC_VM_ShapeRA16,CC_VM_ShapeRB16,33.136261,33.033779,33.047574,23.691060,24.523619,21.308980,21.857275,4147200.000744,6514095.560974,4147199.984609,0.016135,2366895.576365,0.777992,34560.000003,38386.050489,33944.753921,0.000013
