Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,ShapeA1,ShapeB1,7.135055,6.758609,4.845048,4.142398,3.495129,4.444822,3.674932,7200.000000,2790.473514,2790.473514,4409.526486,0.000000,0.558627,480.000000,265.698825,480.000000,0.001508
2,ShapeA2,ShapeB2,4.195433,3.819638,2.689303,1.204709,0.796446,1.508507,1.025273,7200.000000,5618.515582,5618.515582,1581.484418,0.000000,0.876625,480.000000,376.384221,264.353960,0.000954
3,ShapeA3,ShapeB3,2.910151,2.537503,1.733287,1.031619,0.929192,1.076250,0.879294,7200.000000,7163.471542,6533.548259,666.451741,629.923282,0.909745,480.000000,424.848669,248.704560,0.000940
4,ShapeA4,ShapeB4,4.133065,4.098819,4.103438,2.941706,3.045136,2.638730,2.712007,7200.000000,11272.686046,7199.903605,0.096395,4072.782441,0.779519,480.000000,532.708968,407.112779,0.002110
5,ShapeA5,ShapeB5,14.175749,13.454386,9.630838,8.232509,6.954864,8.832727,7.288088,67200.000000,26302.934108,26302.934108,40897.065892,0.000000,0.562612,2240.000000,1242.987593,2240.000000,0.002110
6,ShapeA6,ShapeB6,8.304303,7.590783,5.329508,2.382357,1.529968,2.971158,2.007652,67200.000000,52693.269052,52693.269052,14506.730948,0.000000,0.879003,2240.000000,1758.579191,1530.288633,0.000150
7,ShapeA7,ShapeB7,5.742129,5.022071,3.436982,2.076787,1.878512,2.155200,1.770039,67200.000000,67116.742646,61081.916280,6118.083720,6034.826366,0.909521,2240.000000,1984.533237,1747.125331,0.000571
8,ShapeA8,ShapeB8,8.279490,8.246987,8.250295,5.914731,6.118715,5.315805,5.454893,67200.000000,105472.283649,67199.939610,0.060390,38272.344038,0.778352,2240.000000,2487.512115,2076.164753,0.000104
9,ShapeA9,ShapeB9,28.301508,26.888190,19.238506,16.441322,13.881285,17.636813,14.545115,499200.000000,195877.098204,195877.098204,303322.901796,0.000000,0.563613,8320.000000,4619.665357,8320.000000,0.000104
10,ShapeA10,ShapeB10,16.583510,15.173251,10.633198,4.731647,3.053347,5.919124,3.993680,499200.000000,391916.797523,391916.797523,107283.202477,0.000000,0.879608,8320.000000,6533.871134,6456.608421,0.000236
11,ShapeA11,ShapeB11,11.444718,10.042975,6.860279,4.167413,3.768677,4.311517,3.544954,499200.000000,499044.821213,453938.528692,45261.471308,45106.292521,0.909473,8320.000000,7372.834961,7416.488649,0.000058
12,ShapeA12,ShapeB12,16.566305,16.513104,16.520022,11.841846,12.259425,10.650535,10.925106,499200.000000,783984.528717,499199.970821,0.029179,284784.557896,0.778064,8320.000000,9240.733925,8020.936217,0.000206
13,ShapeA13,ShapeB13,56.577271,53.781207,38.462075,32.875345,27.740575,35.259581,29.074894,4147200.000000,1628275.559643,1628275.559643,2518924.440357,0.000000,0.563859,34560.000000,19192.293538,34560.000000,0.000206
14,ShapeA14,ShapeB14,33.148113,30.348739,21.256154,9.444730,6.096550,11.827295,7.978176,4147200.000000,3256875.673608,3256875.673608,890324.326392,0.000000,0.879752,34560.000000,27142.678034,29087.801589,0.000023
15,ShapeA15,ShapeB15,22.871766,20.074934,13.713447,8.340928,7.542744,8.623816,7.092568,4147200.000000,4146878.921572,3771562.202495,375637.797505,375316.719077,0.909459,34560.000000,30627.409718,32691.736241,0.000048
16,ShapeA16,ShapeB16,33.135948,33.032897,33.047997,23.691822,24.525906,21.310478,21.857387,4147200.000000,6514081.231539,4147199.984524,0.015476,2366881.247015,0.777993,34560.000000,38386.029372,33944.044782,0.000046
