Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,ShapeRA1,ShapeRB1,7.071212,6.728619,4.808385,4.139180,3.476516,4.419113,3.645312,8000.000426,3130.008953,3130.008953,4869.991472,0.000000,0.562445,1600.000043,887.756726,1600.000043,0.000000
2,ShapeRA2,ShapeRB2,4.153542,3.810918,2.668096,1.201059,0.771165,1.488520,1.004470,8000.000426,6271.419663,6271.419663,1728.580763,0.000000,0.878878,1600.000043,1256.048492,868.646098,0.000000
3,ShapeRA3,ShapeRB3,2.859937,2.517848,1.726316,1.047079,0.944682,1.079378,0.885635,8000.000426,7989.901179,7271.074009,728.926417,718.827170,0.909458,1600.000043,1417.515433,845.334794,0.000000
4,ShapeRA4,ShapeRB4,4.139662,4.123341,4.124834,2.954376,3.058856,2.655924,2.727133,8000.000426,12555.666450,8000.000324,0.000101,4555.666125,0.778374,1600.000043,1776.774637,1361.716715,0.000000
5,ShapeRA5,ShapeRB5,14.142423,13.445545,9.619086,8.221616,6.941144,8.818623,7.272866,63999.998880,25111.332899,25111.332899,38888.665981,0.000000,0.563595,6399.999944,3553.549275,6399.999944,0.000000
6,ShapeRA6,ShapeRB6,8.284371,7.586713,5.316683,2.366672,1.526788,2.959785,1.996748,63999.998880,50244.631653,50244.631653,13755.367227,0.000000,0.879597,6399.999944,5026.026922,4355.532529,0.000000
7,ShapeRA7,ShapeRB7,5.719488,5.021866,3.428131,2.082389,1.886347,2.155730,1.772438,63999.998880,63979.774839,58197.121024,5802.877856,5782.653814,0.909474,6399.999944,5671.404190,4992.331361,0.000000
8,ShapeRA8,ShapeRB8,8.279800,8.256453,8.258112,5.919229,6.130952,5.324999,5.462603,63999.998880,100509.077983,63999.998071,0.000809,36509.079912,0.778073,6399.999944,7108.225775,5937.480541,0.000000
9,ShapeRA9,ShapeRB9,28.284845,26.891067,19.232048,16.440142,13.869048,17.629987,14.537397,511999.991041,201018.155967,201018.155967,310981.835074,0.000000,0.563851,25599.999776,14216.451551,25599.999776,0.000000
10,ShapeRA10,ShapeRB10,16.568551,15.173425,10.630346,4.723594,3.049260,5.913550,3.988727,511999.991041,402085.223191,402085.223191,109914.767850,0.000000,0.879754,25599.999776,20105.710020,19845.468509,0.000000
11,ShapeRA11,ShapeRB11,11.436345,10.037372,6.856831,4.170299,3.769511,4.311894,3.546231,511999.991041,511961.393014,465625.590788,46374.400252,46335.802225,0.909459,25599.999776,22686.981598,22824.783256,0.000000
12,ShapeRA12,ShapeRB12,16.568516,16.516629,16.524117,11.845832,12.263677,10.655184,10.928558,511999.991041,804206.000120,511999.989900,0.001141,292206.010220,0.777994,25599.999776,28434.082054,24684.699936,0.000000
13,ShapeRA13,ShapeRB13,56.569691,53.777370,38.459826,32.876030,27.736324,35.257803,29.071442,4096000.000735,1608412.000240,1608412.000240,2487588.000495,0.000000,0.563919,102400.000009,56868.164108,102400.000009,0.000000
14,ShapeRA14,ShapeRB14,33.137104,30.345398,21.255765,9.444187,6.088803,11.826133,7.975044,4096000.000735,3216907.325229,3216907.325229,879092.675506,0.000000,0.879789,102400.000009,80424.249705,86158.823758,0.000000
15,ShapeRA15,ShapeRB15,22.868077,20.076405,13.713521,8.345153,7.544149,8.625089,7.093122,4096000.000735,4095922.080736,3725095.726730,370904.274006,370826.354006,0.909456,102400.000009,90749.205569,96863.541257,0.000000
16,ShapeRA16,ShapeRB16,33.137074,33.035950,33.049718,23.693610,24.525837,21.311131,21.859000,4096000.000735,6433899.046568,4095999.999895,0.000840,2337899.046673,0.777975,102400.000009,113737.437722,100579.687231,0.000000
