Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,ShapeRA1,ShapeRB1,7.152881,6.757623,4.843315,4.139128,3.516714,4.446243,3.675074,7200.000383,2790.473637,2790.473637,4409.526746,0.000000,0.558627,480.000013,265.698831,480.000013,0.001508
2,ShapeRA2,ShapeRB2,4.206328,3.828157,2.681426,1.207597,0.796511,1.509917,1.025422,7200.000383,5618.515390,5618.515390,1581.484993,0.000000,0.876625,480.000013,376.384214,264.514311,0.000954
3,ShapeRA3,ShapeRB3,2.904893,2.535677,1.732902,1.023064,0.928331,1.076591,0.878980,7200.000383,7163.471419,6533.904754,666.095629,629.566665,0.909795,480.000013,424.848666,246.972803,0.000940
4,ShapeRA4,ShapeRB4,4.139116,4.104001,4.109435,2.933308,3.044778,2.637166,2.711854,7200.000383,11272.685869,7199.942347,0.058036,4072.743522,0.779523,480.000013,532.708964,407.970168,0.002111
5,ShapeRA5,ShapeRB5,14.184038,13.458985,9.633957,8.242007,6.955221,8.832591,7.288192,67199.998824,26302.933695,26302.933695,40897.065129,0.000000,0.562612,2239.999980,1242.987583,2239.999980,0.002111
6,ShapeRA6,ShapeRB6,8.312526,7.601443,5.325088,2.372304,1.534339,2.971130,2.007733,67199.998824,52693.268879,52693.268879,14506.729945,0.000000,0.879003,2239.999980,1758.579188,1528.361397,0.000150
7,ShapeRA7,ShapeRB7,5.742278,5.022320,3.435153,2.078624,1.880052,2.155088,1.769899,67199.998824,67116.742608,61082.159909,6117.838915,6034.582699,0.909524,2239.999980,1984.533237,1746.987227,0.000571
8,ShapeRA8,ShapeRB8,8.284232,8.243724,8.249714,5.915472,6.120983,5.315878,5.454794,67199.998824,105472.283903,67199.963165,0.035660,38272.320739,0.778353,2239.999980,2487.512118,2076.975970,0.000104
9,ShapeRA9,ShapeRB9,28.302478,26.888846,19.241152,16.441544,13.879017,17.636744,14.545210,499199.991265,195877.098678,195877.098678,303322.892587,0.000000,0.563613,8319.999927,4619.665363,8319.999927,0.000104
10,ShapeRA10,ShapeRB10,16.580055,15.173514,10.631918,4.727884,3.050192,5.919135,3.993811,499199.991265,391916.797609,391916.797609,107283.193656,0.000000,0.879608,8319.999927,6533.871135,6454.867203,0.000236
11,ShapeRA11,ShapeRB11,11.447794,10.041238,6.862704,4.167633,3.766281,4.311382,3.544760,499199.991265,499044.821723,453939.903511,45260.087754,45104.918212,0.909476,8319.999927,7372.834965,7417.884211,0.000058
12,ShapeRA12,ShapeRB12,16.566195,16.512113,16.521422,11.839902,12.259887,10.650564,10.924963,499199.991265,783984.530742,499199.975855,0.015410,284784.554888,0.778064,8319.999927,9240.733937,8021.674407,0.000206
13,ShapeRA13,ShapeRB13,56.579608,53.781349,38.464341,32.879367,27.740114,35.261218,29.075037,4147200.000744,1628275.563849,1628275.563849,2518924.436895,0.000000,0.563859,34560.000003,19192.293562,34560.000003,0.000206
14,ShapeRA14,ShapeRB14,33.142982,30.350329,21.259822,9.445319,6.092555,11.828942,7.978216,4147200.000744,3256875.667477,3256875.667477,890324.333267,0.000000,0.879752,34560.000003,27142.678009,29090.862775,0.000023
15,ShapeRA15,ShapeRB15,22.874346,20.075268,13.711347,8.342499,7.545744,8.624871,7.092422,4147200.000744,4146878.928187,3771564.945267,375635.055477,375313.982920,0.909460,34560.000003,30627.409743,32693.134892,0.000048
16,ShapeRA16,ShapeRB16,33.136068,33.034424,33.046987,23.690849,24.522377,21.308827,21.857198,4147200.000744,6514081.230714,4147199.993678,0.007067,2366881.237036,0.777993,34560.000003,38386.029370,33944.629942,0.000046
