Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,LdV_VM_ShapeA1,LdV_VM_ShapeB1,4.997500,4.736543,4.845792,1.853911,1.807374,1.917286,1.927985,8000.000000,9815.010847,7397.067811,602.932189,2417.943036,0.830431,3200.000000,3141.395355,2271.848849,2.500000
2,LdV_VM_ShapeA2,LdV_VM_ShapeB2,4.352989,4.101196,4.205500,1.621827,1.576466,1.687569,1.658224,8000.000000,9315.326287,7364.193829,635.806171,1951.132458,0.850598,3200.000000,3060.401699,2122.531681,2.177927
3,LdV_VM_ShapeA3,LdV_VM_ShapeB3,3.869312,3.177959,2.152840,0.975401,0.877639,1.216178,0.957041,8000.000000,7600.056514,7010.490147,989.509853,589.566367,0.898778,3200.000000,2764.365346,1469.545150,1.000000
4,LdV_VM_ShapeA4,LdV_VM_ShapeB4,4.145421,3.793114,2.658468,1.184199,0.761260,1.479955,0.998358,8000.000000,6280.509401,6280.509401,1719.490599,0.000000,0.879592,3200.000000,2513.006487,1734.952599,0.000000
5,LdV_VM_ShapeA5,LdV_VM_ShapeB5,9.998750,9.474531,9.691052,3.708076,3.613599,3.835324,3.856575,64000.000000,78535.059195,59181.012432,4818.987568,19354.046763,0.830406,12800.000000,12566.180311,10642.329469,5.000000
6,LdV_VM_ShapeA6,LdV_VM_ShapeB6,8.709828,8.206492,8.410346,3.247932,3.150350,3.375436,3.315050,64000.000000,74537.795741,58919.210017,5080.789983,15618.585724,0.850587,12800.000000,12242.230322,10126.405719,4.355590
7,LdV_VM_ShapeA7,LdV_VM_ShapeB7,7.732200,6.357065,4.313950,1.949660,1.751982,2.431472,1.913006,64000.000000,60815.943717,56092.920552,7907.079448,4723.023165,0.898810,12800.000000,11058.165667,9581.885106,2.000000
8,LdV_VM_ShapeA8,LdV_VM_ShapeB8,8.284858,7.586336,5.312203,2.362327,1.522871,2.956752,1.993910,64000.000000,50260.744394,50260.744394,13739.255606,0.000000,0.879755,12800.000000,10052.859568,8705.075223,0.000000
9,LdV_VM_ShapeA9,LdV_VM_ShapeB9,19.999375,18.951314,19.384738,7.418275,7.227532,7.671034,7.713461,512000.000000,628308.415851,473456.078181,38543.921819,154852.337671,0.830400,51200.000000,50265.280176,45970.916735,10.000000
10,LdV_VM_ShapeA10,LdV_VM_ShapeB10,17.421581,16.415034,16.822238,6.497740,6.299795,6.751014,6.630295,512000.000000,596332.687287,471365.005627,40634.994373,124967.681660,0.850584,51200.000000,48969.543784,44944.366029,8.711097
11,LdV_VM_ShapeA11,LdV_VM_ShapeB11,15.464943,12.711088,8.625551,3.901460,3.505192,4.862608,3.825898,512000.000000,486559.927553,448761.184947,63238.815053,37798.742606,0.898817,51200.000000,44233.398591,43970.893003,4.000000
12,LdV_VM_ShapeA12,LdV_VM_ShapeB12,16.568572,15.173710,10.627360,4.721473,3.044310,5.912243,3.987425,512000.000000,402113.414755,402113.414755,109886.585245,0.000000,0.879789,51200.000000,40212.124840,39680.983236,0.000000
13,LdV_VM_ShapeA13,LdV_VM_ShapeB13,39.999687,37.903148,38.769854,14.837431,14.450651,15.342272,15.425125,4096000.000000,5026528.641314,3787666.560191,308333.439809,1238862.081123,0.830398,204800.000000,201061.733721,191714.927678,20.000000
14,LdV_VM_ShapeA14,LdV_VM_ShapeB14,34.844124,32.831092,33.645456,12.995588,12.603148,13.502180,13.258962,4096000.000000,4770722.185786,3770939.922202,325060.077798,999782.263584,0.850583,204800.000000,195878.798040,189687.098391,17.422218
15,LdV_VM_ShapeA15,LdV_VM_ShapeB15,30.928627,25.422112,17.250153,7.803992,7.010100,9.725106,7.651016,4096000.000000,3892538.611035,3590120.515560,505879.484440,302418.095476,0.898818,204800.000000,176934.266964,187903.036658,8.000000
16,LdV_VM_ShapeA16,LdV_VM_ShapeB16,33.137498,30.345370,21.254457,9.442773,6.088300,11.823729,7.974193,4096000.000000,3216970.395647,3216970.395647,879029.604353,0.000000,0.879799,204800.000000,160849.287836,172323.698113,0.000000
