Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,LdV_VM_ShapeA1,LdV_VM_ShapeB1,4.998400,4.707949,4.839585,1.840131,1.795009,1.909608,1.919648,7200.000000,8800.076833,6647.594261,552.405739,2152.482571,0.830945,480.000000,470.763015,340.727443,2.503479
2,LdV_VM_ShapeA2,LdV_VM_ShapeB2,4.353913,4.098977,4.199108,1.603888,1.566068,1.680038,1.647930,7200.000000,8347.291060,6616.476483,583.523517,1730.814577,0.851142,480.000000,458.560027,318.106632,2.179825
3,LdV_VM_ShapeA3,LdV_VM_ShapeB3,3.903235,3.204473,2.177507,0.949540,0.855570,1.221541,0.957128,7200.000000,6806.859039,6291.526882,908.473118,515.332157,0.898349,480.000000,414.151153,221.724475,0.998269
4,LdV_VM_ShapeA4,LdV_VM_ShapeB4,4.171331,3.801207,2.671535,1.218900,0.776246,1.504513,1.023001,7200.000000,5622.370722,5622.370722,1577.629278,0.000000,0.876963,480.000000,376.448684,263.536362,0.001410
5,LdV_VM_ShapeA5,LdV_VM_ShapeB5,9.999200,9.458576,9.683926,3.702294,3.611388,3.830327,3.850469,67200.000000,82385.633647,62121.501086,5078.498914,20264.132561,0.830581,2240.000000,2198.573559,1861.624017,4.999517
6,LdV_VM_ShapeA6,LdV_VM_ShapeB6,8.710290,8.190316,8.406536,3.243550,3.143551,3.371875,3.309935,67200.000000,78189.464769,61842.809744,5357.190256,16346.655025,0.850719,2240.000000,2141.875414,1771.850197,4.356107
7,LdV_VM_ShapeA7,LdV_VM_ShapeB7,7.749891,6.357200,4.316616,1.935258,1.745998,2.433204,1.912461,67200.000000,63784.009054,58860.266082,8339.733918,4923.742972,0.898740,2240.000000,1934.627799,1676.758118,2.000264
8,LdV_VM_ShapeA8,LdV_VM_ShapeB8,8.310707,7.597251,5.323196,2.365908,1.538344,2.970987,2.007533,67200.000000,52694.041325,52694.041325,14505.958675,0.000000,0.879010,2240.000000,1758.585620,1529.965352,0.002262
9,LdV_VM_ShapeA9,LdV_VM_ShapeB9,19.999600,18.944268,19.378543,7.417826,7.221938,7.668831,7.709668,499200.000000,612454.068947,461579.775482,37620.224518,150874.293465,0.830438,8320.000000,8167.619200,7471.588604,10.000295
10,LdV_VM_ShapeA10,LdV_VM_ShapeB10,17.421812,16.407144,16.816606,6.488683,6.294719,6.748992,6.626795,499200.000000,581279.352366,459538.685217,39661.314783,121740.667149,0.850620,8320.000000,7957.054640,7304.317494,8.710716
11,LdV_VM_ShapeA11,LdV_VM_ShapeB11,15.478601,12.713699,8.625672,3.895261,3.506440,4.863145,3.824955,499200.000000,474258.183845,437475.201021,61724.798979,36782.982824,0.898806,8320.000000,7187.405459,7144.167203,3.999941
12,LdV_VM_ShapeA12,LdV_VM_ShapeB12,16.585312,15.176395,10.632707,4.722095,3.052312,5.919382,3.993853,499200.000000,391912.086023,391912.086023,107287.913977,0.000000,0.879602,8320.000000,6533.851495,6455.175328,0.000224
13,LdV_VM_ShapeA13,LdV_VM_ShapeB13,39.999800,37.899065,38.766102,14.835700,14.444741,15.341124,15.424213,4147200.000000,5089057.896652,3834931.279298,312268.720702,1254126.617353,0.830408,34560.000000,33928.663652,32352.761595,20.000060
14,LdV_VM_ShapeA14,LdV_VM_ShapeB14,34.844239,32.826969,33.641607,12.990636,12.598902,13.501233,13.258127,4147200.000000,4830059.483360,3817988.675755,329211.324245,1012070.807605,0.850591,34560.000000,33054.039523,32012.635387,17.422178
15,LdV_VM_ShapeA15,LdV_VM_ShapeB15,30.933047,25.428134,17.253550,7.801048,7.007224,9.725682,7.651110,4147200.000000,3940885.673200,3634835.161299,512364.838701,306050.511901,0.898812,34560.000000,29857.071046,31711.240029,8.000022
16,LdV_VM_ShapeA16,LdV_VM_ShapeB16,33.143675,30.346851,21.257940,9.444743,6.093901,11.827305,7.978207,4147200.000000,3256873.574804,3256873.574804,890326.425196,0.000000,0.879752,34560.000000,27142.673658,29084.599249,0.000212
