Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,LdV_VM_ShapeA1,LdV_VM_ShapeB1,4.999984,4.728393,4.846273,1.851107,1.805447,1.915474,1.926771,8000.000000,9808.288451,7395.277463,604.722537,2413.010988,0.830543,1600.000000,1570.428690,1135.335090,2.499278
2,LdV_VM_ShapeA2,LdV_VM_ShapeB2,4.355539,4.096834,4.203391,1.623180,1.572368,1.685825,1.655130,8000.000000,9308.765154,7362.433253,637.566747,1946.331901,0.850717,1600.000000,1529.931371,1060.990380,2.177397
3,LdV_VM_ShapeA3,LdV_VM_ShapeB3,3.881449,3.178322,2.162126,0.971763,0.873875,1.217220,0.956595,8000.000000,7593.027543,7006.676782,993.323218,586.350761,0.898694,1600.000000,1381.863044,737.877750,1.000673
4,LdV_VM_ShapeA4,LdV_VM_ShapeB4,4.156595,3.799630,2.664377,1.193018,0.761912,1.484296,1.002472,8000.000000,6274.565295,6274.565295,1725.434705,0.000000,0.879125,1600.000000,1256.205908,871.350175,0.000195
5,LdV_VM_ShapeA5,LdV_VM_ShapeB5,9.999992,9.472083,9.692443,3.705339,3.614826,3.834945,3.856201,64000.000000,78521.517509,59176.260752,4823.739248,19345.256757,0.830419,6400.000000,6282.819306,5320.892019,5.000171
6,LdV_VM_ShapeA6,LdV_VM_ShapeB6,8.711103,8.203308,8.411075,3.248671,3.150932,3.374842,3.314565,64000.000000,74525.314848,58915.292627,5084.707373,15610.022220,0.850607,6400.000000,6120.858920,5062.717664,4.355545
7,LdV_VM_ShapeA7,LdV_VM_ShapeB7,7.739199,6.359829,4.314701,1.949894,1.753691,2.431989,1.913179,64000.000000,60802.419666,56085.535971,7914.464029,4716.883695,0.898789,6400.000000,5528.775447,4789.153093,1.999900
8,LdV_VM_ShapeA8,LdV_VM_ShapeB8,8.291606,7.589237,5.318961,2.363704,1.524239,2.959560,1.996298,64000.000000,50246.224316,50246.224316,13753.775684,0.000000,0.879613,6400.000000,5026.066742,4354.985476,0.000111
9,LdV_VM_ShapeA9,LdV_VM_ShapeB9,19.999996,18.950730,19.386242,7.417885,7.225108,7.670700,7.713196,512000.000000,628281.334297,473447.872201,38552.127799,154833.462096,0.830405,25600.000000,25132.369260,22985.271776,10.000006
10,LdV_VM_ShapeA10,LdV_VM_ShapeB10,17.422218,16.413183,16.824385,6.496417,6.302821,6.750693,6.630028,512000.000000,596304.942594,471356.218370,40643.781630,124948.724224,0.850589,25600.000000,24484.487095,22472.418146,8.711067
11,LdV_VM_ShapeA11,LdV_VM_ShapeB11,15.466242,12.710866,8.618647,3.902224,3.503507,4.862877,3.826000,512000.000000,486532.723161,448746.186883,63253.813117,37786.536278,0.898811,25600.000000,22116.390149,21987.775715,3.999985
12,LdV_VM_ShapeA12,LdV_VM_ShapeB12,16.571199,15.173188,10.625897,4.722711,3.045792,5.913441,3.988524,512000.000000,402087.611062,402087.611062,109912.388938,0.000000,0.879757,25600.000000,20105.739867,19845.484345,0.000143
13,LdV_VM_ShapeA13,LdV_VM_ShapeB13,39.999998,37.902384,38.769677,14.836562,14.451656,15.342072,15.424977,4096000.000000,5026473.815293,3787651.034894,308348.965106,1238822.780399,0.830400,102400.000000,100530.592756,95859.332909,19.999980
14,LdV_VM_ShapeA14,LdV_VM_ShapeB14,34.844442,32.830502,33.645094,12.994664,12.602138,13.502059,13.258842,4096000.000000,4770669.153228,3770922.249287,325077.750713,999746.903941,0.850584,102400.000000,97939.126834,94845.737586,17.422207
15,LdV_VM_ShapeA15,LdV_VM_ShapeB15,30.930368,25.422918,17.249804,7.803736,7.010332,9.725226,7.651051,4096000.000000,3892484.625352,3590091.423209,505908.576791,302393.202143,0.898817,102400.000000,88466.826757,93953.030221,7.999993
16,LdV_VM_ShapeA16,LdV_VM_ShapeB16,33.137190,30.346786,21.257080,9.444083,6.088671,11.824326,7.974736,4096000.000000,3216919.219990,3216919.219990,879080.780010,0.000000,0.879791,102400.000000,80424.324055,86160.877036,0.000008
