Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,VM_ShapeA1,VM_ShapeB1,4.999356,4.729189,4.845843,1.849313,1.802251,1.915534,1.926679,8000.000000,9806.021860,7394.276983,605.723017,2411.744878,0.830537,1600.000000,1570.337986,1135.806248,2.500000
2,VM_ShapeA2,VM_ShapeB2,4.355256,4.099670,4.203475,1.620338,1.571586,1.687233,1.655868,8000.000000,9307.288697,7360.971881,639.028119,1946.316816,0.850621,1600.000000,1529.870718,1061.190042,2.178711
3,VM_ShapeA3,VM_ShapeB3,3.870576,3.182102,2.157807,0.969388,0.870814,1.216068,0.955868,8000.000000,7593.703518,7007.672787,992.327213,586.030730,0.898782,1600.000000,1381.893785,735.098966,1.000000
4,VM_ShapeA4,VM_ShapeB4,4.142636,3.797556,2.663376,1.183792,0.760510,1.487017,1.004341,8000.000000,6271.419597,6271.419597,1728.580403,0.000000,0.878878,1600.000000,1256.048486,867.529593,0.000000
5,VM_ShapeA5,VM_ShapeB5,9.999625,9.470510,9.691684,3.707259,3.613369,3.834463,3.855900,64000.000000,78518.435272,59176.067764,4823.932236,19342.367508,0.830434,6400.000000,6282.757657,5320.697333,5.000000
6,VM_ShapeA6,VM_ShapeB6,8.710707,8.205512,8.408892,3.248248,3.151161,3.374993,3.314588,64000.000000,74522.247444,58913.677183,5086.322817,15608.570261,0.850602,6400.000000,6120.795938,5064.106166,4.355808
7,VM_ShapeA7,VM_ShapeB7,7.737480,6.363242,4.314007,1.948787,1.750456,2.432390,1.913398,64000.000000,60799.075204,56083.048777,7916.951223,4716.026428,0.898773,6400.000000,5528.699426,4791.550650,2.000000
8,VM_ShapeA8,VM_ShapeB8,8.285271,7.591583,5.321271,2.361047,1.527461,2.959814,1.996606,64000.000000,50244.631698,50244.631698,13755.368302,0.000000,0.879597,6400.000000,5026.026925,4351.414926,0.000000
9,VM_ShapeA9,VM_ShapeB9,19.999958,18.949955,19.383504,7.417704,7.226399,7.670624,7.713130,512000.000000,628278.750539,473447.605388,38552.394612,154831.145151,0.830407,25600.000000,25132.343424,22984.998476,10.000000
10,VM_ShapeA10,VM_ShapeB10,17.422163,16.414309,16.820267,6.496497,6.298197,6.750857,6.630096,512000.000000,596302.756639,471353.890020,40646.109980,124948.866619,0.850587,25600.000000,24484.464650,22472.728890,8.711227
11,VM_ShapeA11,VM_ShapeB11,15.468385,12.711041,8.628130,3.901629,3.504788,4.862914,3.825989,512000.000000,486528.263992,448743.952461,63256.047539,37784.311531,0.898811,25600.000000,22116.339483,21984.973842,4.000000
12,VM_ShapeA12,VM_ShapeB12,16.570543,15.172457,10.625783,4.722093,3.046414,5.913531,3.988643,512000.000000,402085.222356,402085.222356,109914.777644,0.000000,0.879754,25600.000000,20105.709999,19843.228620,0.000000
13,VM_ShapeA13,VM_ShapeB13,39.999920,37.902200,38.768895,14.836818,14.449840,15.342078,15.424970,4096000.000000,5026468.693514,3787648.840491,308351.159509,1238819.853023,0.830400,102400.000000,100530.567147,95856.047642,20.000000
14,VM_ShapeA14,VM_ShapeB14,34.844345,32.830490,33.644539,12.994505,12.602426,13.502033,13.258836,4096000.000000,4770660.406579,3770919.032518,325080.967482,999741.374061,0.850584,102400.000000,97939.081951,94843.997418,17.422215
15,VM_ShapeA15,VM_ShapeB15,30.928801,25.421982,17.251324,7.803467,7.010007,9.725213,7.651044,4096000.000000,3892480.570046,3590089.934189,505910.065811,302390.635856,0.898817,102400.000000,88466.803739,93951.774834,8.000000
16,VM_ShapeA16,VM_ShapeB16,33.139430,30.344914,21.254999,9.444000,6.088814,11.824481,7.974850,4096000.000000,3216907.326115,3216907.326115,879092.673885,0.000000,0.879789,102400.000000,80424.249716,86160.786078,0.000000
