Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,VM_ShapeA1,VM_ShapeB1,4.989394,4.699938,4.819372,1.829441,1.788751,1.909325,1.919834,7200.000000,8798.329770,6646.798821,553.201179,2151.530949,0.830937,480.000000,470.739689,339.660744,2.500002
2,VM_ShapeA2,VM_ShapeB2,4.344536,4.066857,4.174501,1.610310,1.564336,1.682315,1.649885,7200.000000,8350.265222,6616.285268,583.714732,1733.979954,0.850955,480.000000,458.600827,318.131356,2.178333
3,VM_ShapeA3,VM_ShapeB3,3.913846,3.205877,2.169477,0.951085,0.864803,1.220980,0.957175,7200.000000,6806.586102,6291.512298,908.487702,515.073805,0.898365,480.000000,414.147026,221.896938,1.002654
4,VM_ShapeA4,VM_ShapeB4,4.195433,3.819638,2.689303,1.204709,0.796446,1.508507,1.025273,7200.000000,5618.515582,5618.515582,1581.484418,0.000000,0.876625,480.000000,376.384221,264.353960,0.000954
5,VM_ShapeA5,VM_ShapeB5,9.994786,9.455069,9.679191,3.704557,3.605297,3.831578,3.851751,67200.000000,82383.075888,62116.178870,5083.821130,20266.897017,0.830524,2240.000000,2198.556499,1862.493371,5.000129
6,VM_ShapeA6,VM_ShapeB6,8.705727,8.189045,8.395672,3.236464,3.143374,3.372750,3.310854,67200.000000,78183.537019,61837.220360,5362.779640,16346.316659,0.850677,2240.000000,2141.834834,1771.670263,4.355876
7,VM_ShapeA7,VM_ShapeB7,7.741751,6.372591,4.330304,1.941890,1.747550,2.434273,1.913178,67200.000000,63777.528286,58854.513962,8345.486038,4923.014325,0.898696,2240.000000,1934.578672,1676.447873,2.000250
8,VM_ShapeA8,VM_ShapeB8,8.304303,7.590783,5.329508,2.382357,1.529968,2.971158,2.007652,67200.000000,52693.269052,52693.269052,14506.730948,0.000000,0.879003,2240.000000,1758.579191,1530.288633,0.000150
9,VM_ShapeA9,VM_ShapeB9,19.997394,18.942017,19.379524,7.414677,7.226266,7.669102,7.709987,499200.000000,612456.466417,461577.046849,37622.953151,150879.419567,0.830431,8320.000000,8167.627198,7470.965703,10.000134
10,VM_ShapeA10,VM_ShapeB10,17.419557,16.406131,16.813910,6.487976,6.299999,6.749738,6.627315,499200.000000,581278.345120,459530.703563,39669.296437,121747.641557,0.850606,8320.000000,7957.051197,7303.998065,8.711167
11,VM_ShapeA11,VM_ShapeB11,15.464592,12.723492,8.634408,3.896960,3.505891,4.863965,3.825583,499200.000000,474247.365393,437461.843790,61738.156210,36785.521603,0.898789,8320.000000,7187.364480,7146.269682,4.000044
12,VM_ShapeA12,VM_ShapeB12,16.583510,15.173251,10.633198,4.731647,3.053347,5.919124,3.993680,499200.000000,391916.797523,391916.797523,107283.202477,0.000000,0.879608,8320.000000,6533.871134,6456.608421,0.000236
13,VM_ShapeA13,VM_ShapeB13,39.998623,37.898263,38.768754,14.835090,14.446679,15.341309,15.424364,4147200.000000,5089055.152994,3834921.537928,312278.462072,1254133.615066,0.830406,34560.000000,33928.659069,32353.424940,20.000060
14,VM_ShapeA14,VM_ShapeB14,34.842983,32.827176,33.643075,12.991203,12.599335,13.501483,13.258330,4147200.000000,4830051.700711,3817973.940093,329226.059907,1012077.760618,0.850589,34560.000000,33054.026212,32012.444813,17.422204
15,VM_ShapeA15,VM_ShapeB15,30.933378,25.422388,17.257882,7.801879,7.009564,9.725722,7.651203,4147200.000000,3940892.407970,3634834.997782,512365.002218,306057.410188,0.898811,34560.000000,29857.083804,31710.884901,7.999997
16,VM_ShapeA16,VM_ShapeB16,33.148113,30.348739,21.256154,9.444730,6.096550,11.827295,7.978176,4147200.000000,3256875.673608,3256875.673608,890324.326392,0.000000,0.879752,34560.000000,27142.678034,29087.801589,0.000023
